Seq#,Blank,Sample_No,Original QC,Campaign,Drill Hole,Lab,Cert_No,Cert Date,Ag,Au,Cu,Pb,Zn,LDL Ag,LDL Au,LDL Cu,LDL Pb,LDL Zn
1,MER24-001-001,Coarse_Blank,First Drill Campaign,MER24-001,ALS,HE24036516 - Finalized,02/09/2025,02/09/2025,0.0025,1.0,2.0,1,,0.01,1,1,5,0.01
2,MER24-001-034,Coarse_Blank,First Drill Campaign,MER24-001,ALS,HE24036516 - Finalized,02/09/2025,02/09/2025,0.0025,3.0,8.0,1,,0.01,1,1,5,0.01
3,MER24-003-012,Coarse_Blank,Second Drill Campaign,MER24-003,ALS,HE24110643 - Finalized,05/05/2024,05/05/2024,0.0025,6.0,8.0,2,,0.01,1,1,5,0.01
4,MER24-004-001,Coarse_Blank,Second Drill Campaign,MER24-004,ALS,HE24110644 - Finalized,05/05/2024,05/05/2024,0.0025,3.0,4.0,5,,0.01,1,1,5,0.01
5,MER24-004-008,Coarse_Blank,Second Drill Campaign,MER24-004,ALS,HE24110644 - Finalized,05/05/2024,05/05/2024,0.006,1.0,4.0,3,,0.01,1,1,5,0.01
6,MER24-005-001,Coarse_Blank,Second Drill Campaign,MER24-005,ALS,HE24110645 - Finalized,05/06/2024,05/06/2024,0.0025,4.0,3.0,2,,0.01,1,1,5,0.01
7,MER24-005-025,Coarse_Blank,Second Drill Campaign,MER24-005,ALS,HE24110645 - Finalized,05/06/2024,05/06/2024,0.0025,4.0,4.0,2,,0.01,1,1,5,0.01
8,MER24-006-001,Coarse_Blank,Second Drill Campaign,MER24-006,ALS,HE24110646 - Finalized,05/04/2024,05/04/2024,0.0025,5.0,3.0,3,,0.01,1,1,5,0.01
9,MER24-006-026,Coarse_Blank,Second Drill Campaign,MER24-006,ALS,HE24110646 - Finalized,05/04/2024,05/04/2024,0.008,3.0,15.0,2,,0.01,1,1,5,0.01
10,MER24-007-001,Coarse_Blank,Second Drill Campaign,MER24-007,ALS,HE24118787 - Finalized,05/01/2025,05/01/2025,0.0025,1.0,15.0,18,,0.01,1,1,5,0.01
11,MER24-007-019,Coarse_Blank,Second Drill Campaign,MER24-007,ALS,HE24118787 - Finalized,05/01/2025,05/01/2025,0.008,4.0,3.0,1,,0.01,1,1,5,0.01
12,MER24-007-047,Coarse_Blank,Second Drill Campaign,MER24-007,ALS,HE24118787 - Finalized,05/01/2025,05/01/2025,0.005,2.0,2.0,3,,0.01,1,1,5,0.01
13,MER24-008-001,Coarse_Blank,Second Drill Campaign,MER24-008,ALS,HE24118788 - Finalized,05/02/2025,05/02/2025,0.007,1.0,1.0,3,,0.01,1,1,5,0.01
14,MER24-008-021,Coarse_Blank,Second Drill Campaign,MER24-008,ALS,HE24118788 - Finalized,05/02/2025,05/02/2025,0.0025,1.0,2.0,4,,0.01,1,1,5,0.01
15,MER24-009-001,Coarse_Blank,Second Drill Campaign,MER24-009,ALS,HE24127266 - Finalized,05/06/2026,05/06/2026,0.007,2.0,1.0,3,,0.01,1,1,5,0.01
16,MER24-009-020,Coarse_Blank,Second Drill Campaign,MER24-009,ALS,HE24127266 - Finalized,05/06/2026,05/06/2026,0.006,1.0,14.0,2,,0.01,1,1,5,0.01
17,MER24-009-027,Coarse_Blank,Second Drill Campaign,MER24-009,ALS,HE24127266 - Finalized,05/06/2026,05/06/2026,0.0025,4.0,9.0,3,,0.01,1,1,5,0.01
18,MER24-010-001,Coarse_Blank,Second Drill Campaign,MER24-010,ALS,HE24127267 - Finalized,05/01/2026,05/01/2026,0.0025,5.0,3.0,4,,0.01,1,1,5,0.01
19,MER24-010-019,Coarse_Blank,Second Drill Campaign,MER24-010,ALS,HE24127267 - Finalized,05/01/2026,05/01/2026,0.007,2.0,12.0,3,,0.01,1,1,5,0.01
20,MER24-010-029,Coarse_Blank,Second Drill Campaign,MER24-010,ALS,HE24127267 - Finalized,05/01/2026,05/01/2026,0.014,2.0,9.0,2,,0.01,1,1,5,0.01
21,MER24-011-001,Coarse_Blank,Second Drill Campaign,MER24-011,ALS,HE24127268 - Finalized,05/01/2026,05/01/2026,0.0025,7.0,3.0,5,,0.01,1,1,5,0.01
22,MER24-011-016,Coarse_Blank,Second Drill Campaign,MER24-011,ALS,HE24127268 - Finalized,05/01/2026,05/01/2026,0.0025,17.0,4.0,24,,0.01,1,1,5,0.01
23,MER24-012-001,Coarse_Blank,Second Drill Campaign,MER24-012,ALS,HE24127269 - Finalized,05/01/2026,05/01/2026,0.0025,3.0,1.0,3,,0.01,1,1,5,0.01
24,MER24-012-021,Coarse_Blank,Second Drill Campaign,MER24-012,ALS,HE24127269 - Finalized,05/01/2026,05/01/2026,0.0025,1.0,7.0,1,,0.01,1,1,5,0.01
25,MER24-013-001,Coarse_Blank,Second Drill Campaign,MER24-013,ALS,HE24127270 - Finalized,05/11/2025,05/11/2025,0.0025,1.0,1.0,2,,0.01,1,1,5,0.01
26,MER24-013-012,Coarse_Blank,Second Drill Campaign,MER24-013,ALS,HE24127270 - Finalized,05/11/2025,05/11/2025,0.0025,8.0,4.0,7,,0.01,1,1,5,0.01
27,MER24-014-001,Coarse_Blank,Second Drill Campaign,MER24-014,ALS,HE24127272 - Finalized,05/04/2026,05/04/2026,0.0025,5.0,4.0,1,,0.01,1,1,5,0.01
28,MER24-014-016,Coarse_Blank,Second Drill Campaign,MER24-014,ALS,HE24127272 - Finalized,05/04/2026,05/04/2026,0.0025,1.0,10.0,2,,0.01,1,1,5,0.01
29,MER24-015-001,Coarse_Blank,Second Drill Campaign,MER24-015,ALS,HE24127273 - Finalized,05/01/2026,05/01/2026,0.0025,4.0,2.0,3,,0.01,1,1,5,0.01
