Seq#,Blank,Sample_No,Original QC,Campaign,Drill Hole,Lab,Cert_No,Cert Date,Ag,Au,Cu,Pb,Zn,LDL Ag,LDL Au,LDL Cu,LDL Pb,LDL Zn
30,MER24-015-024,Coarse_Blank,Second Drill Campaign,MER24-015,ALS,HE24127273 - Finalized,05/01/2026,05/01/2026,0.0025,2.0,2.0,7,,0.01,1,1,5,0.01
31,MER24-016-001,Coarse_Blank,Second Drill Campaign,MER24-016,ALS,HE24132140 - Finalized,05/04/2026,05/04/2026,0.0025,3.0,2.0,2,,0.01,1,1,5,0.01
32,MER24-016-021,Coarse_Blank,Second Drill Campaign,MER24-016,ALS,HE24132140 - Finalized,05/04/2026,05/04/2026,0.005,1.0,5.0,1,,0.01,1,1,5,0.01
33,MER24-016-031,Coarse_Blank,Second Drill Campaign,MER24-016,ALS,HE24132140 - Finalized,05/04/2026,05/04/2026,0.0025,13.0,5.0,2,,0.01,1,1,5,0.01
34,MER24-017-001,Coarse_Blank,Second Drill Campaign,MER24-017,ALS,HE24132142 - Finalized,05/02/2026,05/02/2026,0.0025,9.0,3.0,2,,0.01,1,1,5,0.01
35,MER24-017-013,Coarse_Blank,Second Drill Campaign,MER24-017,ALS,HE24132142 - Finalized,05/02/2026,05/02/2026,0.006,2.0,6.0,1,,0.01,1,1,5,0.01
36,MER24-018-001,Coarse_Blank,Second Drill Campaign,MER24-018,ALS,HE24133349 - Finalized,05/05/2026,05/05/2026,0.0025,1.0,2.0,4,,0.01,1,1,5,0.01
37,MER24-018-018,Coarse_Blank,Second Drill Campaign,MER24-018,ALS,HE24133349 - Finalized,05/05/2026,05/05/2026,0.006,1.0,3.0,2,,0.01,1,1,5,0.01
38,MER24-018-031,Coarse_Blank,Second Drill Campaign,MER24-018,ALS,HE24133349 - Finalized,05/05/2026,05/05/2026,0.0025,1.0,1.0,1,,0.01,1,1,5,0.01
39,MER24-019-001,Coarse_Blank,Second Drill Campaign,MER24-019,ALS,HE24133350 - Finalized,05/04/2026,05/04/2026,0.0025,1.0,3.0,13,,0.01,1,1,5,0.01
40,MER24-020-001,Coarse_Blank,Second Drill Campaign,MER24-020,ALS,HE24133351 - Finalized,05/06/2026,05/06/2026,0.0025,2.0,2.0,,,0.01,1,1,5,0.01
41,MER24-020-017,Coarse_Blank,Second Drill Campaign,MER24-020,ALS,HE24133351 - Finalized,05/06/2026,05/06/2026,0.014,12.0,4.0,,,0.01,1,1,5,0.01
42,MER24-020-046,Coarse_Blank,Second Drill Campaign,MER24-020,ALS,HE24133351 - Finalized,05/06/2026,05/06/2026,0.009,1.0,4.0,,,0.01,1,1,5,0.01
43,MER24-021-001,Coarse_Blank,Second Drill Campaign,MER24-021,ALS,HE24133352 - Finalized,05/05/2026,05/05/2026,0.005,1.0,2.0,4,,0.01,1,1,5,0.01
44,MER24-021-031,Coarse_Blank,Second Drill Campaign,MER24-021,ALS,HE24133352 - Finalized,05/05/2026,05/05/2026,0.0025,2.0,18.0,1,,0.01,1,1,5,0.01
